,user_id
"5532783,",1
"5497910,",1
"5496980,",1
"5057878,",1
"5047788,",1
"5046234,",1
"5046233,",1
"5046231,",1
"5028633,",1
"5013964,",1
"6143535,",1
10636107,1
11056705,1
17258064,1
15816221,1
13987677,1
"6134649,",1
"4820866,",1
16962078,1
17937441,1
17561049,1
17409666,1
17352025,1
17155748,1
11162080,1
16871596,1
16799290,1
16707996,1
16619803,1
15709720,1
15445956,1
14301754,1
13974962,1
13968203,1
"5008561,",1
"4971249,",1
17206812,1
"4895194,",1
"4742242,",1
"4738827,",1
"4732027,",1
"4730423,",1
"4725235,",1
"4723454,",1
"4720989,",1
"8147682,",1
"7854463,",1
"7922007,",1
"7904918,",1
"8074232,",1
"7863729,",1
"8745142,",1
10023082,1
"6902776,",1
"7705775,",1
11676250,1
"8034391,",1
"6879268,",1
"8707898,",1
"4750418,",1
"4754164,",1
"4756591,",1
"4843517,",1
"4888802,",1
"4887400,",1
"4887100,",1
"4883425,",1
"4882396,",1
"4875361,",1
"4874725,",1
"4873230,",1
"4846076,",1
"4835655,",1
"4760176,",1
"4829533,",1
"4828877,",1
"4826457,",1
"4812708,",1
"4804120,",1
"4798879,",1
"4783041,",1
"4776271,",1
"4766854,",1
"3709986,",1
"8347866,",1
"8623758,",1
"7706149,",1
"7694412,",1
"7763527,",1
"8670813,",1
"8491368,",1
"7796667,",1
13071414,1
"9546828,",1
"8697249,",1
"7719722,",1
"7930836,",1
"7754739,",1
10499287,1
11527662,1
"9982333,",1
"9837266,",1
12066430,1
"7574418,",1
14282584,1
16227567,1
"7609118,",1
12375612,1
"7769977,",1
"7758131,",1
"9164321,",1
"7778757,",1
"7772486,",1
"7598633,",1
"8938873,",1
"7800174,",1
"7816494,",1
"7809569,",1
"9643702,",1
"8516525,",1
"7694399,",1
"7768286,",1
10498562,1
"8946483,",1
"8222673,",1
"8677757,",1
"7704102,",1
"7525694,",1
"7732564,",1
10079425,1
"7577235,",1
"7714289,",1
10763552,1
12274920,1
"7309963,",1
10478745,1
16945439,1
17515545,1
17397044,1
17323074,1
16477021,1
15965326,1
14288756,1
14157629,1
10845619,1
"9974826,",1
"9972955,",1
"9616666,",1
"7801172,",1
"7799076,",1
16952387,1
16987371,1
16952083,1
16952733,1
16959638,1
16953585,1
16951929,1
"9572629,",1
"7628064,",1
"8872603,",1
16460882,1
10290162,1
10463007,1
10061061,1
"9986769,",1
"7525842,",1
"7791473,",1
"7564160,",1
12248392,1
16668588,1
15599639,1
10014230,1
12420518,1
"9890330,",1
15972457,1
15965092,1
11852426,1
15517240,1
12420212,1
13108416,1
17690018,1
"8012378,",1
10729133,1
"7772169,",1
"8495436,",1
14562923,1
14794251,1
16831853,1
16437310,1
15819810,1
15150423,1
14912036,1
15841499,1
17701707,1
16206344,1
15450258,1
12729856,1
12611162,1
17272981,1
17120689,1
16984279,1
16768513,1
"5455713,",1
"2674351,",1
13994559,1
15329238,1
15578245,1
"8259604,",1
"6674261,",1
16389119,1
"8718297,",1
12729557,1
10096869,1
"8446622,",1
11817292,1
10896278,1
"8731160,",1
16002125,1
"8582389,",1
"8640995,",1
"7455656,",1
"8218281,",1
16759563,1
"8575448,",1
"9554549,",1
17253941,1
16195740,1
16120254,1
"7776973,",1
15988767,1
"2615927,",1
"6005352,",1
17618582,1
"9650991,",1
17569367,1
17336770,1
16942211,1
16703220,1
