Id,woman
129781,94
19147,
26677,
37759,
56414,
165022,44
62263,
192623,95
173019,74
129764,44
26112,
53034,
83213,
36944,
18827,
39894,
39434,
30076,
50724,50
147001,45
31882,64
17524,
140653,74
107992,73
97696,
76347,
47321,71
97826,
47411,
96379,55
11141,
10034,
172006,
37398,
177335,83
187351,69
91101,
103331,70
16208,33
46494,
10828,
146469,54
10064,
33755,
75508,
31778,
43208,
200896,58
74205,
37929,
10504,
96372,
179694,73
154653,79
183772,77
146560,55
71760,55
72054,19
101966,60
178097,59
182699,42
27899,
29756,67
83883,
202903,52
62262,
31231,
10489,
92069,32
143357,48
102272,50
37936,75
188056,62
17521,
95767,74
102875,51
141675,70
10751,
52528,
10242,
10262,52
86381,
10970,33
88669,47
98403,
109778,47
174659,69
27219,45
115977,54
52504,
136876,52
144083,
155963,86
191920,60
130989,65
137865,85
112040,62
66158,58
39810,
120076,86
181912,68
21162,
18050,59
156912,76
101901,49
107924,60
53441,
168693,49
118917,54
191597,53
10005,
44020,
31906,
38464,62
149511,
17626,
93749,
121788,44
70427,
18682,
146512,43
100930,
88793,
82428,
34362,
26679,
11572,
65998,65
18488,
68563,
34566,
57997,
10007,
30796,55
149049,72
19516,
38835,
10238,
77117,
100022,
36727,
73339,
95260,33
144938,76
69917,
24926,
23859,
10877,33
168023,70
64129,
53945,
31118,
182387,75
164115,73
121048,54
172187,76
32911,
36590,67
33870,
81890,
209496,55
45298,52
36799,
38097,
16792,25
10532,
17764,
61848,33
115534,65
42809,
183866,52
38738,
136315,36
135806,33
10111,62
37439,33
10086,44
37488,
140731,42
39568,
44728,
60530,
90589,36
159408,22
74565,
10742,
175366,57
159516,50
129046,60
68934,
26537,46
191545,47
10029,
158180,55
117061,81
109466,64
74632,
31307,
39524,
83160,
172113,43
68498,71
189623,58
64354,
70562,
31524,
127398,38
63445,
57278,50
66091,68
18878,42
50598,
51787,79
17802,
39399,
173653,54
10128,
17255,71
45130,
11720,20
76455,
96968,
142683,75
129406,64
91031,75
62390,
76048,
10033,
178214,74
23525,
129072,54
24157,
37739,
200052,66
31456,
93236,72
140803,86
172425,55
10330,
163787,65
10686,
33422,
97652,
44885,
17143,
157178,44
36843,51
27350,55
27109,
51049,
93094,
162173,57
113170,77
38907,
96327,36
126389,52
146214,43
72393,
43678,
17059,75
76020,69
18318,
151254,33
10055,
107748,
87571,
37409,
73018,
94194,
146488,50
127858,67
177483,65
40133,
33082,
64080,
162854,71
190324,50
62556,
120125,61
183377,68
16906,67
113315,43
139523,68
10640,
92038,
33930,
31271,
82323,
187321,30
149777,51
39405,
150117,63
39633,
146944,75
143416,63
37838,
73075,
50785,50
10250,25
45719,
31579,
75401,
19500,
35991,
160491,82
31911,
29146,
70637,
99714,37
149504,45
76627,
41585,
195450,22
38546,80
36957,
14584,
103719,55
36484,
16516,
38615,
208077,37
80774,
17800,
87309,65
11354,
11092,
43609,
52548,
96054,70
88495,77
83268,
75606,
18875,
17773,62
82239,60
31913,
192147,25
194910,67
76560,
17967,
11119,
70254,
191917,
189259,
38574,
183836,71
43206,
149479,57
127321,72
61521,50
139674,84
149050,73
142691,67
98276,74
191633,72
179318,74
26544,
128212,44
165722,74
65769,
45944,
28214,
48074,
134898,39
18814,
49007,
72081,
73477,
138601,78
75217,
71768,
29044,
36344,
38662,64
179974,46
203097,66
83098,
17946,
36651,20
28795,
154449,62
147388,74
61095,
31464,
10800,
17758,
10741,75
185131,71
165025,86
32593,
39516,22
43153,
197304,89
94775,
30685,
58538,
190728,28
66440,62
29378,
130983,64
136890,76
186613,67
35626,38
10253,
10100,58
197487,33
132998,64
39879,
18763,
132991,65
18597,
115240,78
18350,
31607,69
19456,
32588,62
31940,55
35071,
96961,
114249,47
38274,
66144,
31282,
77768,43
138576,81
52790,
38882,
181381,45
130957,31
119632,47
99724,57
91696,
150198,46
17450,
37245,
193990,70
72363,50
153279,78
18216,
123433,21
72631,
143253,82
118950,49
143456,72
27260,54
14397,
186615,22
134845,79
165751,47
80866,
159845,56
146508,70
50932,
39157,
153951,83
158610,58
37853,
51624,
39846,
210808,48
19541,
159311,68
64961,
187324,19
113348,50
86197,
142241,65
119914,71
100639,55
38420,
36617,
26348,60
70691,
109910,78
65735,
74309,
18285,65
28876,69
159054,71
116251,
136872,63
73496,
170496,64
60755,
16571,
77154,
159848,54
179139,53
189624,76
47494,
180374,76
93089,
36763,
39043,64
149731,47
98432,77
33759,
36732,
147896,66
44910,
80629,
78681,
40032,
35070,
98280,60
59032,
34598,
37756,
92176,
37261,
172040,37
19063,
53781,
48159,69
96325,
172118,73
19394,
127901,67
194321,
34225,67
154226,80
35273,
36950,33
